cap,gia_tri_A,gia_tri_B,pct_lech,ket_luan,ghi_chu
sales.Revenue (total) vs SUM(order_items gross=unit_price*qty),"sales.Revenue=16,430,476,585.53","order_items.gross=16,430,476,585.53",0.0,khop,"tong toan bo lich su, khong loc status"
sales.COGS (total) vs SUM(order_items qty*products.cogs),"sales.COGS=14,163,450,519.17","order_items.cogs=14,163,450,519.13",0.0,khop,"tong toan bo lich su, khong loc status"
So ngay trung giua sales.Date va orders.order_date,"sales.Date distinct=3,833.00","orders.order_date distinct=3,833.00",0.0,khop,so ngay giao nhau=3833; neu lech span thi gross theo NGAY se khong khop dai han
sales gross vs net (loai cancelled + tru discount),"gross_all=16,430,476,585.53","net_excl_cancelled=14,233,855,628.00",13.3692,khop-voi-ky-vong-13.37%,gap thuc te=13.37% (ky vong ~13.37%)
COUNT(orders) vs COUNT(payments),"orders=646,945.00","payments=646,945.00",0.0,khop,verify 1:1 tong so dong
"orders 1:1 payments (per order_id, khong chi count tong)",order co >1 payment=0,order khong co payment=0,0.0,khop,count tong bang nhau chua chac 1:1 that su - can kiem tra per-order_id
COUNT(orders) - COUNT(shipments),"orders=646,945.00","shipments=566,067.00",12.5015,lech-co-giai-thich,"hieu so=80,878 (ky vong tham chieu 80,878)"
don KHONG co shipment vs status (cancelled/created/paid = chua giao van),"orders_no_shipment=80,878","status cancelled+created+paid=80,314 | breakdown={'cancelled': 59462, 'paid': 13577, 'created': 7275, 'delivered': 524, 'returned': 29, 'shipped': 11}",0.6973,lech-co-giai-thich,kiem tra 80.878 don khong co shipment co phai toan bo la cancelled/created/paid (chua toi buoc ship) khong
don status shipped/delivered/returned nhung KHONG co shipment record,so don nay=564,"tong don shipped/delivered/returned=566,631",0.0995,lech-bat-thuong,neu >0: don da giao/tra hang nhung thieu ban ghi shipment - nghi thieu du lieu
"SUM(payments.payment_value) vs SUM(order_items net = gross-discount, tat ca status)","payments_total=15,680,869,265.43","order_items_net_total=15,680,869,265.43",0.0,khop,neu payment thu tren TOAN BO don (ke ca sau nay huy) thi so sanh voi net toan bo hop ly hon net-excl-cancelled
"SUM(payments.payment_value) vs SUM(order_items net, LOAI cancelled)","payments_total=15,680,869,265.43","order_items_net_excl_cancelled=14,233,855,628.00",9.2279,lech-co-giai-thich,neu payment CHI thu tren don khong huy thi cap nay hop ly hon
SUM(returns.refund_amount) <= SUM(payments.payment_value),"refund_total=510,598,506.55","payments_total=15,680,869,265.43",3.2562,khop,refund/payment ratio - kiem tra muc do hop ly tong quan
PER-ORDER: refund_amount > payment_value cua chinh don do,"so dong return vi pham=3,430","tong so dong returns=39,939",8.5881,lech-bat-thuong,"vi pham logic hoan tien > da thu - can flag rieng (QC0.6 co the da bat, o day xac nhan lai o muc cross-table)"
"COUNT(reviews) vs COUNT(orders) [ty le, khong ky vong bang nhau]","reviews=113,551","orders=646,945",17.5519,khop-hop-ly,"ty le reviews/orders=17.55% - review la optional (khach co the ko review), <=100% la hop ly, khong phai loi doi chieu"
"COUNT(reviews) vs COUNT(order_items) [ty le, khong ky vong bang nhau]","reviews=113,551","order_items=714,669",15.8886,khop-hop-ly,"ty le reviews/order_items=15.89% - moi review gan 1 (order_id,product_id) cu the, <=100% hop ly"
"COUNT(returns) vs COUNT(orders) [ty le, khong ky vong bang nhau]","returns=39,939","orders=646,945",6.1735,khop-hop-ly,"ty le returns/orders=6.17%; doi chieu voi order_status=returned (36,142 don) - xem dong duoi"
COUNT(returns distinct order_id) vs COUNT(orders status=returned),"distinct order_id trong returns=36,062","orders.order_status=returned=36,142",0.2213,lech-co-giai-thich,"ky vong so don co it nhat 1 return ~ so don status=returned (co the lech neu 1 don return roi status khac, hoac return partial khong doi status)"
