check_id,bang,cot,dimension,mo_ta,count,rate_pct,severity,phan_loai,action,owner
QC0.2-01,"toan bo 14 bang","91 cot","schema","Toan bo cot parse dtype dung ky vong (int/float/str/date), 0 parse fail",0,0.0000,none,khong-phai-loi,accept,@de
QC0.2-02,promotions,applicable_category,"schema/completeness","80% null nhung la 'ap dung TOAN BO danh muc' khong phai thieu du lieu; ten cot/sentinel de gay hieu nham",40,80.0000,low,hien-tuong-nghiep-vu,document,@de
QC0.2-03,inventory,reorder_flag,"schema/validity","Cot chet: distinct=1, 100% gia tri = 0, khong bien thien -> vo nghia lam feature/flag cho model",60247,100.0000,med,hien-tuong-nghiep-vu,"document (loai khoi feature set)",@tester
QC0.3-01,order_items,"order_id+product_id","grain_key","(order_id,product_id) KHONG phai key duy nhat; grain that = 1 dong/line-item. 16 nhom trung key nhung khac unit_price/quantity (mua lai/gia khac) -> hop le, khong phai loi nhap. 0/16 nhom co full-row-duplicate that su",32,0.0045,low,hien-tuong-nghiep-vu,"document (chot grain=line-item, khong dung (order_id,product_id) lam PK)",@de
QC0.3-02,returns,"order_id+product_id","grain_key","2 nhom (order_id,product_id) co nhieu lan return (return lai)",2,0.0050,low,hien-tuong-nghiep-vu,document,@de
QC0.3-03,inventory,product_id,"completeness (coverage)","Panel inventory chi theo doi 1.624/2.412 SKU (67,3%) trong products -> khong phu toan bo danh muc san pham",788,32.6700,med,hien-tuong-nghiep-vu,"document (can @da xac nhan business rule chon SKU theo doi ton kho truoc khi dung inventory lam feature toan-danh-muc)",@de
QC0.4-01,"orders/customers/geography/order_items/products/promotions/payments/shipments/returns/reviews/inventory","12 canh FK","referential_integrity","0 orphan tren toan bo 12 canh FK kiem (xem chi tiet de/qc04_ri.csv); promo_id 61,34% null va promo_id_2 99,97% null la hop le (don khong ap dung KM)",0,0.0000,none,khong-phai-loi,accept,@de
QC0.5-01,order_items,promo_id,completeness,"61,34% null - don khong ap dung khuyen mai, hop le nghiep vu",438353,61.3365,low,hien-tuong-nghiep-vu,accept,@da
QC0.5-02,order_items,promo_id_2,completeness,"99,97% null - khuyen mai thu 2 (stackable) hiem gap, hop le nghiep vu",714463,99.9712,low,hien-tuong-nghiep-vu,accept,@da
QC0.5-03,"13 bang con lai","tat ca cot con lai (~85 cot)",completeness,"0% null tren toan bo cac cot con lai da kiem (bao gom shipments.delivery_date, returns.return_reason, reviews.review_title - cac gia dinh ban dau trong sprint plan ve null O NHUNG COT NAY la SAI, thuc te 0% null)",0,0.0000,none,khong-phai-loi,accept,@da
